snapshot_date,rank,rank_change,package,app_name,rating,lifetime_installs_rounded,recent_30d_installs_rounded,scraped_at,run_id
2026-08-13,1,0,care.disha,Disha: AI Health Coach,3.4,5700000,1100000,2026-08-13T03:54:00.436Z,2026-08-13_1786593238
2026-08-13,2,0,com.traya.prod,Traya: Hair Loss Solutions,4.6,15000000,740000,2026-08-13T03:54:00.437Z,2026-08-13_1786593238
2026-08-13,3,0,com.noisefit,NoiseFit: Health & Fitness,4.5,56000000,730000,2026-08-13T03:54:00.438Z,2026-08-13_1786593238
2026-08-13,4,1,com.bp.blood.sugar.bloodtracker.app,Blood Sugar Care - BP Monitor,3.1,1700000,760000,2026-08-13T03:54:00.439Z,2026-08-13_1786593238
2026-08-13,5,-1,in.sweatco.app,Sweatcoin・Walking Step Counter,4.4,160000000,1900000,2026-08-13T03:54:00.439Z,2026-08-13_1786593238
2026-08-13,6,0,com.google.android.apps.fitness,Google Fit: Activity Tracking,3.4,360000000,4000000,2026-08-13T03:54:00.440Z,2026-08-13_1786593238
2026-08-13,7,0,com.coveiot.android.boat,boAt Crest,4.1,18000000,400000,2026-08-13T03:54:00.440Z,2026-08-13_1786593238
2026-08-13,8,0,com.wz.bloodpressure.heartmonitor.bloodsugar,Blood Pressure Log & Tracker,,480000,310000,2026-08-13T03:54:00.441Z,2026-08-13_1786593238
2026-08-13,9,0,weightloss.weightlossforwomen.workoutforwomen.womenworkout,Weight Loss for Women: Workout,4.8,48000000,1400000,2026-08-13T03:54:00.441Z,2026-08-13_1786593238
2026-08-13,10,0,com.strava,"Strava: Run, Bike, Walk",4.6,130000000,3100000,2026-08-13T03:54:00.442Z,2026-08-13_1786593238
2026-08-13,11,1,stepcounter.pedometer.stepstracker,Step Counter - Pedometer,4.8,71000000,1600000,2026-08-13T03:54:00.443Z,2026-08-13_1786593238
2026-08-13,12,1,nic.goi.aarogyasetu,AarogyaSetu 2.0,3.3,190000000,110000,2026-08-13T03:54:00.443Z,2026-08-13_1786593238
2026-08-13,13,-2,com.titan.fastrack.reflex,Fastrack Smart World,3.8,15000000,350000,2026-08-13T03:54:00.443Z,2026-08-13_1786593238
